threshold,accuracy,precision,recall,f1
0.0,0.5701593137254902,0.5701593137254902,1.0,0.7262439024390244
0.01,0.5701593137254902,0.5701593137254902,1.0,0.7262439024390244
0.02,0.5701593137254902,0.5701593137254902,1.0,0.7262439024390244
0.03,0.5701593137254902,0.5701593137254902,1.0,0.7262439024390244
0.04,0.5701593137254902,0.5701593137254902,1.0,0.7262439024390244
0.05,0.5701593137254902,0.5701593137254902,1.0,0.7262439024390244
0.06,0.5701593137254902,0.5701593137254902,1.0,0.7262439024390244
0.07,0.5701593137254902,0.5701593137254902,1.0,0.7262439024390244
0.08,0.5701593137254902,0.5701593137254902,1.0,0.7262439024390244
0.09,0.5701593137254902,0.5701593137254902,1.0,0.7262439024390244
0.1,0.5701593137254902,0.5701593137254902,1.0,0.7262439024390244
0.11,0.5701593137254902,0.5701593137254902,1.0,0.7262439024390244
0.12,0.5701593137254902,0.5701593137254902,1.0,0.7262439024390244
0.13,0.5701593137254902,0.5701593137254902,1.0,0.7262439024390244
0.14,0.5701593137254902,0.5701593137254902,1.0,0.7262439024390244
0.15,0.5701593137254902,0.5701593137254902,1.0,0.7262439024390244
0.16,0.5701593137254902,0.5701593137254902,1.0,0.7262439024390244
0.17,0.5842524509803921,0.5783095090118086,1.0,0.7328214215396731
0.18,0.6081495098039216,0.5926751592356688,1.0,0.744251149770046
0.19,0.6415441176470589,0.6139887825800066,1.0,0.7608340147179068
0.2,0.6629901960784313,0.6285038838230328,1.0,0.7718788884280382
0.21,0.6755514705882353,0.637517146776406,0.99892530897367,0.7783127485869793
0.22,0.6862745098039216,0.6455652173913043,0.9973132724341752,0.7837837837837838
0.23,0.6985294117647058,0.654892264217591,0.9962385814078453,0.7902813299232737
0.24,0.7074142156862745,0.6629496402877698,0.9903277807630306,0.7942253824606765
0.25,0.7169117647058824,0.6712979890310786,0.9865663621708759,0.7989556135770235
0.26,0.7285539215686274,0.6826526789059573,0.9790435249865663,0.8044150110375275
0.27,0.7356004901960784,0.6903127383676583,0.9725953788285868,0.8074949810394825
0.28,0.7420343137254902,0.6963391136801541,0.9709833422890919,0.8110412926391383
0.29,0.7457107843137255,0.7011314865392119,0.9656098871574422,0.8123869801084991
0.3,0.7515318627450981,0.7075098814229249,0.9618484685652875,0.8153040309724436
0.31,0.7549019607843137,0.7129666800481734,0.9543256313809779,0.8161764705882353
0.32,0.7530637254901961,0.7141697117336582,0.9451907576571735,0.8135985198889917
0.33,0.7552083333333334,0.7197847682119205,0.9344438473938743,0.8131868131868132
0.34,0.7545955882352942,0.7238175675675675,0.9210102095647501,0.810593520926933
0.35000000000000003,0.7503063725490197,0.7238869863013698,0.908651262761956,0.8058136764355492
0.36,0.7503063725490197,0.7287839020122485,0.8952176249328319,0.8034723896792862
0.37,0.7533700980392157,0.7344582593250444,0.8887694787748522,0.8042791150012156
0.38,0.7539828431372549,0.7389340560072267,0.8790972595378829,0.8029447852760736
0.39,0.7506127450980392,0.7402478201009638,0.8667383127350886,0.7985148514851486
0.4,0.7512254901960784,0.7447503499766682,0.8576034390112842,0.7972027972027972
0.41000000000000003,0.7518382352941176,0.7525228255646323,0.8414830736163353,0.7945205479452054
0.42,0.7493872549019608,0.7560137457044673,0.8275120902740463,0.7901487942534633
0.43,0.7447916666666666,0.7595959595959596,0.8081676518001075,0.7831293933871387
0.44,0.7386642156862745,0.761139896373057,0.7893605588393336,0.7749934054339225
0.45,0.7365196078431373,0.7646747752511899,0.7770016120365395,0.7707889125799574
0.46,0.7389705882352942,0.772850189291509,0.7678667383127351,0.7703504043126684
0.47000000000000003,0.7340686274509803,0.7744610281923715,0.7528210639441161,0.7634877384196185
0.48,0.7297794117647058,0.7785998861696073,0.7350886620096723,0.7562189054726368
0.49,0.7218137254901961,0.7788180222352252,0.7152068780225685,0.7456582633053221
0.5,0.7132352941176471,0.7811550151975684,0.6904889844169801,0.733029092983457
0.51,0.7077205882352942,0.7836147592245153,0.6732939279957012,0.7242774566473988
0.52,0.7071078431372549,0.7895073576455535,0.6630843632455669,0.7207943925233645
0.53,0.7003676470588235,0.7910349373764007,0.6448146157979581,0.7104795737122558
0.54,0.6963848039215687,0.7931266846361186,0.6324556689951639,0.7037369207772796
0.55,0.6862745098039216,0.791231732776618,0.6109618484685653,0.6895087932080048
0.56,0.6810661764705882,0.7945402298850575,0.5943041375604514,0.6799877036581617
0.5700000000000001,0.6709558823529411,0.7912657290895633,0.5744223535733477,0.6656288916562889
0.58,0.6666666666666666,0.7934700075930144,0.5615260612573885,0.65764631843927
0.59,0.6608455882352942,0.7968503937007874,0.5437936593229447,0.6464388374321303
0.6,0.6531862745098039,0.7980376124284546,0.5244492208490059,0.6329442282749675
0.61,0.6433823529411765,0.7981180496150556,0.5013433637829124,0.6158415841584158
0.62,0.6375612745098039,0.8,0.48576034390112843,0.6044801069876296
0.63,0.6317401960784313,0.8048103607770583,0.4674905964535196,0.5914343983684568
0.64,0.6243872549019608,0.8049951969260326,0.4502955400322407,0.5775327360441075
0.65,0.6200980392156863,0.8108108108108109,0.4352498656636217,0.5664335664335665
0.66,0.6130514705882353,0.8174097664543525,0.41375604513702313,0.5494113449875134
0.67,0.6060049019607843,0.8197997775305895,0.39602364320257927,0.5340579710144927
0.68,0.6017156862745098,0.8227848101265823,0.38420204191295004,0.5238095238095238
0.6900000000000001,0.5949754901960784,0.8290598290598291,0.3648576034390113,0.5067164179104477
0.7000000000000001,0.5934436274509803,0.83375,0.3584094572810317,0.501315295001879
0.71,0.5863970588235294,0.835742444152431,0.3417517463729178,0.4851258581235698
0.72,0.5802696078431373,0.8376891334250344,0.3272434175174637,0.4706336939721793
0.73,0.5735294117647058,0.8354792560801144,0.3138097796883396,0.45625
0.74,0.5646446078431373,0.8343465045592705,0.2950026867275658,0.43588725684795554
0.75,0.5579044117647058,0.8392857142857143,0.27780763030628697,0.4174404521598708
0.76,0.5508578431372549,0.8376068376068376,0.2632993014508329,0.40065412919051513
0.77,0.5450367647058824,0.8443223443223443,0.2477162815690489,0.38304943913585376
0.78,0.5361519607843137,0.8449304174950298,0.22837184309511016,0.3595600676818951
0.79,0.5315563725490197,0.8458333333333333,0.2181622783449758,0.34686031610422896
0.8,0.5232843137254902,0.8442437923250564,0.20096722192369693,0.3246527777777778
0.81,0.5180759803921569,0.8428571428571429,0.19022031166039763,0.3103901797457256
0.8200000000000001,0.5101102941176471,0.8502673796791443,0.1708758731864589,0.28456375838926173
0.8300000000000001,0.5018382352941176,0.8386167146974063,0.15636754433100483,0.26358695652173914
0.84,0.4960171568627451,0.8529411764705882,0.14024717893605587,0.24088601753576372
0.85,0.4886642156862745,0.8453237410071942,0.1262761955937668,0.21972884525479197
0.86,0.48284313725490197,0.841897233201581,0.11445459430413756,0.20151371807000945
0.87,0.4736519607843137,0.8388625592417062,0.09511015583019881,0.17084942084942084
0.88,0.46875,0.8359788359788359,0.08490059108006448,0.15414634146341463
0.89,0.4647671568627451,0.8433734939759037,0.07522837184309511,0.13813517513566848
0.9,0.46262254901960786,0.8639455782312925,0.06824288017195057,0.12649402390438247
0.91,0.4586397058823529,0.8790322580645161,0.05857066093498119,0.10982367758186398
