change_type,n,accuracy,precision,recall,f1
remove_1stdoor,447,0.6554809843400448,0.0,0.0,0.0
replace_sink2stove,441,0.9160997732426304,1.0,0.9160997732426304,0.9562130177514793
remove_sink,441,0.9705215419501134,1.0,0.9705215419501134,0.9850402761795167
remove_closet,346,0.06936416184971098,0.0,0.0,0.0
replace_toilet2stove,339,0.9911504424778761,1.0,0.9911504424778761,0.9955555555555555
remove_toilet,339,0.9587020648967551,1.0,0.9587020648967551,0.9789156626506024
add_random_closet,320,0.534375,0.0,0.0,0.0
remove_stove,301,0.9867109634551495,1.0,0.9867109634551495,0.9933110367892977
remove_2sdoor,290,0.603448275862069,0.0,0.0,0.0
